,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Variety
4552,Les Amis 2013,Australia,Barossa Valley,Torbreck,4.6,36.0,208.44,2013,
811,'Giulio Ferrari' Riserva del Fondatore 2007,Italy,Trento,Ferrari,4.6,1191.0,122.27,2007,
2390,Valbuena 5º 2015,Spain,Ribera del Duero,Vega Sicilia,4.6,207.0,131.0,2015,
7331,Bolgheri Superiore 2017,Italy,Bolgheri Superiore,Ornellaia,4.6,70.0,192.0,2017,
2354,Alentejano Tonel Nº 3 - 4 2013,Portugal,Alentejano,Mouchão,4.6,205.0,136.47,2013,
898,Cristal Brut Champagne (Millésimé) 2008,France,Champagne,Louis Roederer,4.6,2729.0,237.65,2008,
4674,Saint-Émilion Grand Cru 2013,France,Saint-Émilion Grand Cru,Château Tertre Roteboeuf,4.6,37.0,166.45,2013,
2619,Pieve Santa Restituta Sugarille Brunello di Montalcino 2011,Italy,Brunello di Montalcino,Gaja,4.6,225.0,149.0,2011,
2560,Brunello di Montalcino 2013,Italy,Brunello di Montalcino,Salvioni,4.6,220.0,159.08,2013,
2378,Pauillac (Premier Grand Cru Classé) 1989,France,Pauillac,Château Mouton Rothschild,4.6,2069.0,1168.77,1989,
2362,Mercury Head Cabernet Sauvignon 2017,United States,Napa Valley,Orin Swift,4.6,206.0,170.59,2017,
7360,Saint-Julien (Grand Cru Classé) 2005,France,Saint-Julien,Château Léoville Las Cases,4.6,702.0,336.3,2005,
1006,Brut Champagne N.V.,France,Champagne,Dom Pérignon,4.6,94287.0,170.0,N.V.,
2498,Grange 2015,Australia,South Australia,Penfolds,4.6,216.0,730.12,2015,
2517,Brunello di Montalcino Riserva 1997,Italy,Brunello di Montalcino,Biondi-Santi,4.6,217.0,632.64,1997,
2453,Proprietary Red 2016,United States,Oakville,Continuum,4.6,212.0,268.07,2016,
2404,Limited Edition 10 Vendemmie N.V.,Italy,Montepulciano d'Abruzzo,Tenuta Ulisse,4.6,2080.0,30.9,N.V.,
493,Bâtard-Montrachet Grand Cru 2015,France,Bâtard-Montrachet Grand Cru,Domaine Henri Boillot,4.6,33.0,520.0,2015,
7210,Amarone della Valpolicella Classico Vigneto Il Fornetto 2012,Italy,Amarone della Valpolicella Classico,Stefano Accordini,4.6,68.0,95.53,2012,
2471,Black Label Pinotage 2017,South Africa,Stellenbosch,Kanonkop,4.6,213.0,179.0,2017,
1479,Saint-Julien (Grand Cru Classé) 2015,France,Saint-Julien,Château Léoville Las Cases,4.6,156.0,238.83,2015,
1508,Taita Marchigüe Vineyard Cabernet Sauvignon 2011,Chile,Colchagua Valley,Montes,4.6,157.0,239.0,2011,
5773,Amore e Magia Brunello di Montalcino 2015,Italy,Brunello di Montalcino,Podere le Ripi,4.6,48.0,90.2,2015,
8362,Bolgheri Superiore 2016,Italy,Bolgheri Superiore,Ornellaia,4.6,919.0,189.15,2016,
780,Ermitage Le Pavillon 2000,France,Hermitage,M. Chapoutier,4.6,125.0,419.95,2000,
6167,Opus One 2010,United States,Napa Valley,Opus One,4.6,5268.0,472.77,2010,
2709,Vieilles Vignes Châteauneuf-du-Pape Blanc 2014,France,Châteauneuf-du-Pape,Château de Beaucastel,4.6,158.0,135.5,2014,
57,Pauillac (Premier Grand Cru Classé) 2017,France,Pauillac,Château Mouton Rothschild,4.6,101.0,633.62,2017,
6081,Veneto Rosso del Bepi 2008,Italy,Veneto,Quintarelli Giuseppe,4.5,511.0,333.5,2008,
5925,Priorat 2016,Spain,Priorat,Clos Mogador,4.5,495.0,77.01,2016,
1493,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2014,France,Saint-Émilion Grand Cru,Château Cheval Blanc,4.5,156.0,592.4,2014,
1345,Pomerol 2005,France,Pomerol,Château Le Gay,4.5,149.0,189.95,2005,
1346,Sorì Tildìn (Barbaresco) Langhe 2013,Italy,Langhe,Gaja,4.5,149.0,450.0,2013,
2706,Sauvignon Blanc 2018,United States,Russian River Valley,Merry Edwards,4.5,157.0,60.19,2018,
3244,Corton-Charlemagne Grand Cru 2015,France,Corton-Charlemagne Grand Cru,Louis Latour,4.5,288.0,116.0,2015,
2431,Gaia & Rey Langhe 2017,Italy,Langhe,Gaja,4.5,121.0,184.2,2017,
2473,Scharzhofberger Riesling Auslese 2015,Germany,Wiltingen,Egon Müller - Scharzhof,4.5,126.0,355.8,2015,
774,Alàuda 2015,Italy,Toscana,Ruffino,4.5,125.0,106.89,2015,
8248,Cabernet Sauvignon 2014,United States,Napa Valley,Paul Hobbs,4.5,889.0,129.0,2014,
8297,The Garland 2011,South Africa,Stellenbosch,Simonsig,4.5,90.0,63.15,2011,
2745,Beaune 1er Cru 'Clos des Mouches' Blanc 2016,France,Beaune 1er Cru 'Le Clos des Mouches',Joseph Drouhin,4.5,162.0,129.0,2016,
2775,Clos Sainte Hune Riesling Alsace 2012,France,Alsace,Trimbach,4.5,166.0,193.03,2012,
3435,Corton-Charlemagne Grand Cru 2008,France,Corton-Charlemagne Grand Cru,Bonneau du Martray,4.5,421.0,263.9,2008,
1470,Adrianna Vineyard Fortuna Terrae Malbec 2015,Argentina,Mendoza,Catena Zapata,4.5,155.0,89.9,2015,
1485,Dedicato a Walter Bolgheri Superiore 2015,Italy,Bolgheri Superiore,Poggio Al Tesoro,4.5,156.0,89.0,2015,
2855,Adrianna Vineyard White Bones Chardonnay 2016,Argentina,Mendoza,Catena Zapata,4.5,178.0,86.95,2016,
2970,Adrianna Vineyard White Stones Chardonnay 2015,Argentina,Mendoza,Catena Zapata,4.5,204.0,73.59,2015,
3026,Zeltinger Sonnenuhr Riesling Auslese*** 2015,Germany,Mosel,Markus Molitor,4.5,218.0,117.95,2015,
3358,Castello della Sala Cervaro della Sala 2018,Italy,Umbria,Antinori,4.5,359.0,58.19,2018,
