,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Variety
543,Sauvignon Blanc Trocken 2019,Germany,Pfalz,Weingut Metzger,3.9,34.0,9.9,2019,
538,Grauer Burgunder Trocken 2018,Germany,Pfalz,Lergenmüller,3.9,34.0,9.73,2018,
536,Balbino Vermentino di Maremma Toscana 2019,Italy,Maremma Toscana,Terenzi,3.9,34.0,10.6,2019,
3953,Cuvée Especial Red Blend 2014,Spain,Navarra,Pago de Cirsus,3.9,312.0,13.79,2014,
3951,Gigondas 2016,France,Gigondas,M. Chapoutier,3.9,312.0,28.72,2016,
3949,Crozes-Hermitage Les Jalets 2017,France,Crozes-Hermitage,Paul Jaboulet Aîné,3.9,312.0,23.15,2017,
567,Dom Riesling Feinherb 2017,Germany,Mosel,Bischöfliche Weingüter Trier,3.9,35.0,7.69,2017,
3362,Saar Riesling 2017,Germany,Mosel,Van Volxem,3.9,360.0,12.14,2017,
3355,Coteaux Varois en Provence Blanc 2018,France,Coteaux Varois en Provence,Miraval,3.9,356.0,17.8,2018,
1640,Riebeeksrivier Western Slopes 2013,South Africa,Swartland,Cape of Good Hope,3.9,163.0,13.99,2013,
1594,Crianza Ribera del Duero 2017,Spain,Ribera del Duero,Condado de Haza,3.9,161.0,12.9,2017,
6668,Saint-Estèphe 2015,France,Saint-Estèphe,Château de Pez,3.9,594.0,39.9,2015,
6619,Lamaione Toscana 2015,Italy,Toscana,Tenuta CastelGiocondo,3.9,59.0,53.3,2015,
7261,Jester Shiraz 2016,Australia,McLaren Vale,Mitolo,3.9,685.0,19.5,2016,
3337,Verdejo 2018,Spain,Rueda,Val de Vid,3.9,345.0,13.16,2018,
1587,Gigondas Romane Machotte Rouge 2017,France,Gigondas,Pierre Amadieu,3.9,161.0,16.47,2017,
1586,Pessac-Léognan 2014,France,Pessac-Léognan,Château Gazin Rocquencourt,3.9,161.0,34.15,2014,
1579,Haut-Médoc 2011,France,Haut-Médoc,Château Sociando-Mallet,3.9,1607.0,57.28,2011,
1574,Saint-Estèphe 2016,France,Saint-Estèphe,Château Haut-Beauséjour,3.9,160.0,33.76,2016,
3408,Mandolás Dry 2017,Hungary,Tokaj,Oremus,3.9,394.0,19.85,2017,
583,Sasyr Sangiovese - Syrah Toscana 2016,Italy,Toscana,Rocca delle Macìe,3.9,118.0,9.26,2016,
6656,Château Montlandrie Castillon - Côtes de Bordeaux 2016,France,Castillon - Côtes de Bordeaux,Denis Durantou,3.9,59.0,24.95,2016,
7229,Hermitage La Chapelle Rouge 2014,France,Hermitage,Paul Jaboulet Aîné,3.9,68.0,191.5,2014,
7223,Kirschgarten GG Pinot Noir 2014,Germany,Pfalz,Philipp Kuhn,3.9,68.0,41.49,2014,
7222,Côtes du Rhône 2018,France,Côtes-du-Rhône,Domaine de Beaurenard,3.9,68.0,12.9,2018,
6687,FEF Collection Corvina Veronese 2018,Italy,Verona,Zeni,3.9,60.0,9.2,2018,
7243,Armano Rosso 2018,Italy,Puglia,Ponte Lungo,3.9,68.0,8.72,2018,
6643,Froi Barbaresco 2014,Italy,Barbaresco,Rivetti Massimo,3.9,59.0,24.26,2014,
505,Blanco Sensación 2018,Spain,Abona,Flor de Chasna,3.9,34.0,11.99,2018,
504,Terroir Selection Chenin Blanc 2017,South Africa,Walker Bay,Springfontein,3.9,34.0,17.9,2017,
550,Chardonnay 2019,Spain,Navarra,Pago de Cirsus,3.9,35.0,6.5,2019,
1330,Crozes-Hermitage Les Meysonniers 2017,France,Crozes-Hermitage,M. Chapoutier,3.9,1486.0,22.22,2017,
7194,Sela Rioja 2016,Spain,Rioja,Bodegas Roda,3.9,678.0,17.25,2016,
7179,Crianza (Selección Crianza) 2015,Spain,Campo de Borja,Borsao,3.9,671.0,11.95,2015,
7219,Vin de Pays Terre de Bussière Principauté d'Orange 2017,France,Vin de Pays,Domaine de la Janasse,3.9,68.0,10.9,2017,
943,Brauneberger Juffer Riesling Kabinett 2018,Germany,Brauneberg,Schloss Lieser,3.9,43.0,15.9,2018,
3632,Reserva Especial Carménère 2017,Chile,Aconcagua Valley,TerraNoble,3.9,29.0,10.51,2017,
3597,Chianti Classico 2016,Italy,Chianti Classico,Tenuta Orsumella,3.9,29.0,10.95,2016,
960,Circumstance Chenin Blanc 2018,South Africa,Stellenbosch,Waterkloof,3.9,43.0,19.5,2018,
555,Ingenuity White Blend 2017,South Africa,Coastal Region,Nederburg,3.9,35.0,23.33,2017,
599,Châteauneuf-du-Pape (La Crau) Blanc 2017,France,Châteauneuf-du-Pape,Domaine du Vieux Télégraphe,3.9,35.0,73.29,2017,
7214,Pago de los Balagueses Garnacha Tintorera 2016,Spain,Valencia,Vegalfaro,3.9,68.0,18.84,2016,
7209,Poggiassai Toscana 2010,Italy,Toscana,Poggio Bonelli,3.9,68.0,21.51,2010,
7208,Pomerol 2007,France,Pomerol,Château Certan Marzelle,3.9,68.0,49.0,2007,
3393,Sancerre Blanc 2017,France,Sancerre,La Perrière,3.9,384.0,17.9,2017,
3384,Pioneer Block 3 43 Degrees Sauvignon Blanc 2018,New Zealand,Marlborough,Saint Clair,3.9,376.0,19.95,2018,
1614,Gevrey-Chambertin 2016,France,Gevrey-Chambertin,Domaine Trapet,3.9,162.0,90.2,2016,
6688,RS Spätburgunder 2013,Germany,Baden,Salwey,3.9,60.0,19.95,2013,
591,Chardonnay 2019,Italy,Venezia Giulia,Jermann,3.9,35.0,18.3,2019,
590,Viura 2018,Spain,La Mancha,Finca Antigua,3.9,35.0,6.96,2018,
913,Wehlener Sonnenuhr Riesling Kabinett 2018,Germany,Wehlen,Joh. Jos. Prüm,3.9,42.0,25.47,2018,
911,Perdeblokke Sauvignon Blanc 2017,South Africa,Constantia,Klein Constantia,3.9,42.0,24.91,2017,
3619,Merlot 2017,Italy,Friuli-Venezia Giulia,Antonutti,3.9,29.0,6.24,2017,
950,Wehlener Sonnenuhr Riesling Kabinett 2017,Germany,Wehlen,Schloss Lieser,3.9,43.0,14.95,2017,
948,Saar Alte Reben Riesling 2015,Germany,Mosel,Markus Molitor,3.9,43.0,18.95,2015,
580,Chardonnay 2019,South Africa,Western Cape,Plaisir de Merle,3.9,35.0,12.11,2019,
579,Röttgen Riesling Kabinett 2018,Germany,Mosel,Reinhard Knebel,3.9,35.0,16.58,2018,
576,Steffensberg 2014,Germany,Mosel,Immich-Batterieberg,3.9,35.0,25.24,2014,
575,Weisser Burgunder Trocken 2017,Germany,Rheinhessen,Wittmann,3.9,35.0,11.51,2017,
652,Crianza Rioja 2016,Spain,Rioja,Ramón Bilbao,3.9,12079.0,8.6,2016,
3404,Lahn Sauvignon 2018,Italy,Südtirol - Alto Adige,St. Michael-Eppan,3.9,391.0,12.13,2018,
3402,Douro Redoma Branco 2014,Portugal,Douro,Niepoort,3.9,390.0,19.99,2014,
1602,Saint-Émilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château Fougueyrat,3.9,162.0,22.67,2015,
7178,Alentejano Tinto 2014,Portugal,Alentejano,Monte do Pintor,3.9,671.0,16.38,2014,
573,Pecorino 2019,Italy,Terre di Chieti,Vanitá,3.9,35.0,6.25,2019,
617,Straden Grauburgunder 2018,Austria,Steiermark,Neumeister,3.9,36.0,14.54,2018,
616,Gelber Muskateller 2018,Germany,Pfalz,Dr. Von Bassermann-Jordan,3.9,36.0,13.69,2018,
608,Ihringer Winklerberg Grauburgunder 2018,Germany,Baden,Dr. Heger,3.9,36.0,17.9,2018,
604,Vineyard Selection Sauvignon Blanc 2019,South Africa,Stellenbosch,Kleine Zalze,3.9,36.0,11.5,2019,
3851,Pinot Noir Carneros 2017,United States,Los Carneros,Schug,3.9,306.0,38.94,2017,
647,Melck's Sauvignon Blanc 2019,South Africa,Stellenbosch,Muratie,3.9,36.0,9.05,2019,
892,Loibenberg Riesling 2017,Austria,Wachau,Pichler-Krutzler,3.9,42.0,32.87,2017,
7173,Pomerol 2015,France,Pomerol,Château Le Bon Pasteur,3.9,67.0,89.95,2015,
1547,Saint-Émilion Grand Cru 2012,France,Saint-Émilion Grand Cru,Château Trapaud,3.9,159.0,19.65,2012,
3477,Chablis 2016,France,Chablis,Christian Moreau Pere & Fils,3.9,464.0,23.0,2016,
7163,Brauneberger Mandelgraben Pinot Noir 2013,Germany,Mosel,Markus Molitor,3.9,67.0,29.95,2013,
6721,Pago La Jara 2013,Spain,Toro,Telmo Rodriguez,3.9,60.0,38.95,2013,
578,Puro Corte 2018,Argentina,Mendoza,Dieter Meier,3.9,118.0,14.89,2018,
577,Chianti Classico Riserva 2013,Italy,Chianti Classico,Brancaia,3.9,1178.0,18.5,2013,
3497,Le Vaglie Verdicchio dei Castelli di Jesi Classico 2018,Italy,Verdicchio dei Castelli di Jesi,Azienda Santa Barbara - Stefano Antonucci,3.9,483.0,10.9,2018,
3492,Chardonnay 2019,South Africa,Stellenbosch,Rustenberg,3.9,479.0,14.5,2019,
1515,6th Sense Syrah 2013,United States,Lodi,Michael David Winery,3.9,1571.0,14.82,2013,
1509,Villa Gresti 2014,Italy,Vigneti delle Dolomiti,San Leonardo,3.9,157.0,25.5,2014,
7159,Vignaricco 2010,Italy,Colli Orientali del Friuli,Conte d'Attimis Maniago,3.9,67.0,22.99,2010,
7153,Pegaso Barrancos de Pizarra 2013,Spain,Castilla y León,Telmo Rodriguez,3.9,67.0,28.5,2013,
3455,Bianco Passivento 2018,Italy,Terre Siciliane,Barone Montalto,3.9,439.0,8.29,2018,
1339,Lalande-de-Pomerol 2016,France,Lalande-de-Pomerol,Château de Bel-Air,3.9,149.0,29.15,2016,
1336,Saint-Émilion Grand Cru (Grand Cru Classé) 2007,France,Saint-Émilion Grand Cru,Château Destieux,3.9,149.0,53.92,2007,
1540,Rioja Gran Reserva 2011,Spain,Rioja,Castillo Clavijo,3.9,159.0,17.78,2011,
1536,Vino Nobile di Montepulciano 2015,Italy,Vino Nobile di Montepulciano,Avignonesi,3.9,1582.0,19.39,2015,
1534,La Montesa 2017,Spain,Rioja,Palacios Remondo,3.9,158.0,14.13,2017,
3504,Grand Estates Chardonnay 2016,United States,Columbia Valley,Columbia Crest,3.9,491.0,12.99,2016,
7146,Sud Primitivo di Manduria 2018,Italy,Primitivo di Manduria,San Marzano,3.9,67.0,6.99,2018,
7145,Santa Cruz de Artazu 2015,Spain,Navarra,Artadi,3.9,67.0,28.95,2015,
6697,Merlot 2011,South Africa,Franschhoek,Anthonij Rupert,3.9,60.0,59.95,2011,
6731,Red Mountain 2013,United States,Red Mountain,Hedges Family Estate,3.9,601.0,37.35,2013,
7141,Les Capitelles Costières de Nîmes Rouge 2015,France,Costières-de-Nîmes,Château Mourgues du Grès,3.9,67.0,16.9,2015,
7138,Vale da Mata Tinto 2016,Portugal,Lisboa,Herdade do Rocim,3.9,67.0,11.48,2016,
886,Mineral Riesling Trocken 2018,Germany,Nahe,Emrich-Schönleber,3.9,41.0,14.9,2018,
884,Opale 2018,Italy,Vermentino di Sardegna,Mesa,3.9,41.0,22.5,2018,
931,Picpoul de Pinet 2019,France,Picpoul de Pinet,Domaine de Belle Mare,3.9,43.0,6.73,2019,
929,Frauenberg Riesling GG 2016,Germany,Rheinhessen,Battenfeld Spanier,3.9,42.0,41.58,2016,
916,Leflaive & Associes Auxey-Duresses 2016,France,Auxey-Duresses,Domaine Leflaive,3.9,42.0,49.9,2016,
629,Isabella - Chardonnay 2018,South Africa,Stellenbosch,Muratie,3.9,36.0,12.83,2018,
625,Gavi del Comune di Gavi 2019,Italy,Gavi,Ascheri,3.9,36.0,12.85,2019,
3875,Malbec 2014,Argentina,Mendoza,Achaval-Ferrer,3.9,3098.0,17.5,2014,
3874,Baron de Brane Margaux 2011,France,Margaux,Château Brane-Cantenac,3.9,309.0,32.12,2011,
3839,Vendimia Seleccionada 2017,Spain,Navarra,Pago de Cirsus,3.9,305.0,7.99,2017,
3833,Reserva Ribera del Duero 2015,Spain,Ribera del Duero,Condado de Oriza,3.9,303.0,12.45,2015,
204,Vitiano San Lorenzo 2014,Italy,Castel San Lorenzo,Falesco,3.9,106.0,11.95,2014,
7136,Pinot Noir 2017,Israel,Galilee,Yarden,3.9,67.0,26.21,2017,
3555,Riesling 2015,United States,Columbia Valley,Eroica,3.9,551.0,24.45,2015,
3551,Sancerre Blanc 2017,France,Sancerre,Château de Sancerre,3.9,543.0,33.87,2017,
185,Riva Ranch Pinot Noir (Reliz Creek) 2017,United States,Arroyo Seco,Wente,3.9,105.0,24.15,2017,
3680,Buzzard Kloof Syrah 2015,South Africa,Stellenbosch,Rustenberg,3.9,294.0,18.42,2015,
1054,Noà (Tenuta Presti e Pregni) 2016,Italy,Sicilia,Cusumano,3.9,137.0,25.95,2016,
902,Grauburgunder Herrenstück 2015,Germany,Baden,Weingut Holger Koch,3.9,42.0,14.95,2015,
3658,Vi de Vila Porrera Caranyana - Garnatxa 2015,Spain,Priorat,Cims de Porrera,3.9,292.0,20.95,2015,
3860,Director's Cut Cabernet Sauvignon 2017,United States,Alexander Valley,Francis Ford Coppola,3.9,307.0,36.83,2017,
3858,Single Vineyard Tempranillo 2014,Spain,La Mancha,Volver,3.9,3067.0,25.5,2014,
7096,Haideboden Frauenkirchner 2016,Austria,Burgenland,Umathum,3.9,66.0,25.5,2016,
7128,Rosso di Montalcino 2015,Italy,Rosso di Montalcino,Poggio San Polo,3.9,667.0,17.06,2015,
7125,Tempranillo 2012,Spain,Rioja,Rolland & Galarreta 'R&G',3.9,667.0,12.53,2012,
7121,Bordeaux Supérieur 2016,France,Bordeaux Supérieur,Château Pierrail,3.9,664.0,13.5,2016,
7118,Barbera d'Alba Tre Vigne 2017,Italy,Barbera d'Alba,Vietti,3.9,662.0,16.9,2017,
7114,Crianza (Selección Crianza) 2014,Spain,Campo de Borja,Borsao,3.9,660.0,8.85,2014,
6733,Aconcagua Alto Carmenère 2017,Chile,Aconcagua,Errazuriz,3.9,601.0,21.45,2017,
1526,Médoc 2015,France,Médoc,Clos Manou,3.9,158.0,27.9,2015,
1499,Nobile di Montepulciano 2015,Italy,Vino Nobile di Montepulciano,Salcheto,3.9,1569.0,17.3,2015,
1491,Lalande-de-Pomerol 2015,France,Lalande-de-Pomerol,Château de Bel-Air,3.9,156.0,28.83,2015,
7073,Saint-Estèphe 2014,France,Saint-Estèphe,Château Haut-Beauséjour,3.9,654.0,27.71,2014,
604,Vat 9 Shiraz 2011,Australia,Hunter Valley,Tyrrell's,3.9,119.0,33.92,2011,
6771,Ulumbaza Red 2012,South Africa,Walker Bay,Springfontein,3.9,61.0,11.8,2012,
6769,Pomerol 2017,France,Pomerol,Château Gazin,3.9,61.0,95.53,2017,
7098,Stibadium Nero di Troia 2013,Italy,San Severo,Coppadoro,3.9,66.0,25.1,2013,
3523,Louro do Bolo Godello Valdeorras 2016,Spain,Valdeorras,Rafael Palacios,3.9,508.0,15.95,2016,
3520,Riesling Trocken 2016,Germany,Pfalz,Georg Mosbacher,3.9,505.0,9.99,2016,
3515,Vouvray Classic 2017,France,Vouvray,Marc Brédif,3.9,500.0,17.85,2017,
3512,Sauvignon Blanc Reserve Collection Elgin 2018,South Africa,Elgin,Tokara,3.9,497.0,18.9,2018,
1542,MXI Selección de Barricas 2016,Spain,Ribera del Duero,Tinto Pesquera,3.9,159.0,36.0,2016,
1351,Albe Barolo 2015,Italy,Barolo,G.D. Vajra,3.9,1494.0,50.67,2015,
1347,Toscana Rosso 2018,Italy,Toscana,Altesino,3.9,149.0,11.0,2018,
3561,Chardonnay 2018,France,Vin de France,Maison de La Villette,3.9,558.0,6.33,2018,
1472,Signatures Single Vineyard Collection Malbec 2017,South Africa,Wellington,Doolhof Wine Estate,3.9,155.0,17.5,2017,
6805,H3 Merlot 2016,United States,Horse Heaven Hills,Columbia Crest,3.9,615.0,15.75,2016,
6804,Pinotage 2017,South Africa,Stellenbosch,Neethlingshof Estate,3.9,614.0,10.45,2017,
6826,Elpidios 2017,South Africa,Swartland,David & Nadia,3.9,62.0,34.15,2017,
3819,Otazu Premium Cuvée 2016,Spain,Navarra,Bodega Otazu,3.9,301.0,8.99,2016,
3817,Barbera d'Alba 2018,Italy,Barbera d'Alba,Cordero di Montezemolo,3.9,301.0,18.35,2018,
673,Oestricher Klosterberg Riesling Trocken 2016,Germany,Rheingau,Peter Jakob Kühn,3.9,37.0,26.7,2016,
663,Oestricher Klosterberg Riesling Trocken 2017,Germany,Rheingau,Peter Jakob Kühn,3.9,37.0,23.4,2017,
654,Corte del Lupo Bianco 2018,Italy,Curtefranca,Ca' del Bosco,3.9,36.0,26.5,2018,
721,Beaune du Château Premier Cru Blanc 2016,France,Beaune Premier Cru,Bouchard Père & Fils,3.9,38.0,38.56,2016,
717,Petite Arvine 2018,Italy,Valle d'Aosta,Ottin - Viticulteur Encaveur,3.9,38.0,18.9,2018,
864,Branco 2017,Portugal,Dão,Quinta da Ponte Pedrinha,3.9,41.0,8.8,2017,
6786,Montefalco Sagrantino 2014,Italy,Montefalco,Falesco,3.9,61.0,47.0,2014,
6784,Cornerstone 2016,South Africa,Stellenbosch,Reyneke,3.9,61.0,20.95,2016,
7088,Shiraz 2017,South Africa,Coastal Region,Fairview,3.9,66.0,17.9,2017,
3530,Wild Yeast Chardonnay 2018,South Africa,Robertson,Springfield Estate,3.9,517.0,15.69,2018,
6819,Winemaker's Red Cabernet Sauvignon Blend 2015,Chile,Maipo Valley,Carmen,3.9,62.0,35.09,2015,
6812,Saint-Estèphe 2012,France,Saint-Estèphe,Château Meyney,3.9,617.0,38.89,2012,
3696,Cuvée 2014,Spain,Rioja,Sierra Cantabria,3.9,297.0,16.9,2014,
3670,Saint-Georges Saint-Émilion 2015,France,Saint-Georges-Saint-Émilion,Château Cap d’Or,3.9,293.0,27.25,2015,
191,Brunello di Montalcino 2013,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.9,1050.0,35.5,2013,
188,Potenti Toscana (Suvereto) 2015,Italy,Toscana,Petra,3.9,105.0,39.58,2015,
697,Herrenbuck Grauburgunder 2018,Germany,Baden,Kiefer,3.9,37.0,7.26,2018,
3831,Médoc 2005,France,Médoc,Château Rollan de By,3.9,303.0,34.95,2005,
3828,Loidana 2017,Spain,Priorat,Marco Abella,3.9,303.0,13.68,2017,
1037,Don Tommaso Chianti Classico 2015,Italy,Chianti Classico,Principe Corsini,3.9,136.0,18.49,2015,
741,Uhlen B Blaufüsser Lay 2017,Germany,Mosel,Heymann-Löwenstein,3.9,38.0,37.9,2017,
6809,Vinha das Romãs Tinto 2016,Portugal,Alentejano,Monte da Ravasqueira,3.9,616.0,21.36,2016,
3578,Grande Réserve Sancerre Blanc 2018,France,Sancerre,Henri Bourgeois,3.9,583.0,26.04,2018,
1357,Via Edetana Tinto 2017,Spain,Terra Alta,Edetària,3.9,150.0,13.15,2017,
1475,Edición Limitada M 2015,Chile,Colchagua Valley,Caliterra,3.9,155.0,16.27,2015,
1473,Cabernet Sauvignon 2016,Australia,Barossa Valley,Schild Estate,3.9,155.0,15.9,2016,
7068,Zinfandel 2017,United States,California,Robert Mondavi Private Selection,3.9,652.0,13.82,2017,
3598,Vinho Verde 2017,Portugal,Vinho Verde,Casa de Vila Nova,3.9,619.0,8.92,2017,
736,Schiefergestein Bockenauer Riesling Trocken 2018,Germany,Nahe,Schäfer-Fröhlich,3.9,38.0,19.91,2018,
840,Terroir d'Altitude Chardonnay 2017,France,Pays d'Oc,Fortant,3.9,40.0,9.5,2017,
835,Pass-O 2018,Italy,Puglia,Menhir,3.9,40.0,10.95,2018,
1043,Le Crosare Valpolicella Ripasso Classico Superiore 2017,Italy,Valpolicella Ripasso Classico,Lenotti,3.9,136.0,10.67,2017,
177,Hommage Lirac 2016,France,Lirac,Domaine Coudoulis,3.9,105.0,19.01,2016,
731,Quintessenz Sauvignon 2017,Italy,Südtirol - Alto Adige,Cantina Kaltern,3.9,38.0,22.5,2017,
3806,Brolio-Bettino 2016,Italy,Chianti Classico,Ricasoli,3.9,300.0,17.25,2016,
3801,Médoc 2016,France,Médoc,Château Clos du Moulin,3.9,30.0,13.9,2016,
1454,Finca Muñoz Limited Release Barrel Aged 2015,Spain,Castilla,Munoz,3.9,154.0,6.99,2015,
1453,The Butcher Blaufränkisch 2018,Austria,Burgenland,Schwarz,3.9,154.0,25.5,2018,
1450,Bandol 2014,France,Bandol,Château Pradeaux,3.9,154.0,26.95,2014,
3622,Verdejo 2019,Spain,Rueda,José Pariente,3.9,680.0,10.95,2019,
7059,Etna Rosso 2018,Italy,Etna,Tenuta delle Terre Nere,3.9,650.0,14.9,2018,
596,Submission Cabernet Sauvignon 2017,United States,California,689 - Six Eight Nine,3.9,1186.0,15.4,2017,
750,Capitel Croce 2018,Italy,Veneto,Anselmi,3.9,39.0,13.48,2018,
748,Sauvignon Blanc Trocken 2018,Germany,Nahe,Genheimer Kiltz,3.9,39.0,10.28,2018,
3792,Grande Réserve Papale Châteauneuf-du-Pape 2016,France,Châteauneuf-du-Pape,Paul Jourdan,3.9,30.0,38.02,2016,
789,Villa Paulus Pouilly-Fumé 2018,France,Pouilly-Fumé,Domaine Masson-Blondelet,3.9,39.0,18.04,2018,
778,Trittenheimer Apotheke Riesling Kabinett 2018,Germany,Mosel,Ansgar Clüsserath,3.9,39.0,13.55,2018,
777,Grüner Veltliner Ried Loibenberg 2016,Austria,Wachau,Pichler-Krutzler,3.9,39.0,32.66,2016,
774,Grüner Veltliner Federspiel Kollmitz 2018,Austria,Wachau,Domäne Wachau,3.9,39.0,13.16,2018,
3705,Rioja Crianza 2017,Spain,Rioja,Beronia,3.9,298.0,7.99,2017,
3688,Lalande-de-Pomerol 2005,France,Lalande-de-Pomerol,Château La Fleur de Boüard,3.9,295.0,64.95,2005,
7046,Modri Pinot 2012,Slovenia,Štajerska,Dveri Pax,3.9,65.0,14.5,2012,
7039,Serpico 2013,Italy,Irpinia,Feudi di San Gregorio,3.9,65.0,52.5,2013,
7037,Costalago Rosso Veronese 2018,Italy,Rosso Veronese,Zeni,3.9,65.0,8.9,2018,
7036,Refosco dal Peduncolo Rosso 2016,Italy,Colli Orientali del Friuli,Livio Felluga,3.9,65.0,17.9,2016,
6852,Spätburgunder 2016,Germany,Pfalz,Friedrich Becker,3.9,62.0,11.5,2016,
6823,Morey-Saint-Denis 'Clos Solon' 2014,France,Morey-Saint-Denis,Domaine Bryczek,3.9,62.0,34.1,2014,
7070,Margaux 2015,France,Margaux,Château La Tour de Mons,3.9,653.0,25.24,2015,
850,Sauvignon Blanc 2019,South Africa,Coastal Region,Steenberg,3.9,40.0,13.75,2019,
766,Gennen Sauvignon 2018,Italy,Südtirol - Alto Adige,Nals Margreid,3.9,39.0,11.6,2018,
1026,Haut-Médoc (Grand Cru Classé) 2005,France,Haut-Médoc,Château Cantemerle,3.9,1350.0,52.95,2005,
3789,Luberon Rouge 2018,France,Luberon,Château la Canorgue,3.9,30.0,14.75,2018,
3759,Argile Rouge 2018,France,Vins des Allobroges,Domaine des Ardoisieres,3.9,30.0,29.15,2018,
3754,Don Dona' Molise Rosso 2014,Italy,Molise,Cantine Salvatore,3.9,30.0,16.9,2014,
808,Sauvignon Blanc 2018,Germany,Rheinhessen,Sander,3.9,40.0,9.9,2018,
803,Riesling 2016,Germany,Nahe,Korrell,3.9,40.0,11.69,2016,
3612,Rias Baixas Albarino 2018,Spain,Rías Baixas,Burgans,3.9,651.0,9.5,2018,
1434,Pinot Noir 2016,United States,Russian River Valley,MacMurray,3.9,1532.0,27.32,2016,
1429,Sabbie di Sopra al Bosco 2013,Italy,Terre del Volturno,Nanni Copé,3.9,153.0,32.14,2013,
3630,Chardonnay 2018,United States,Napa Valley,Black Stallion,3.9,710.0,22.35,2018,
3779,GG Eichberg Spätburgunder 2014,Germany,Baden,Salwey,3.9,30.0,37.0,2014,
758,Sauvignon Blanc 2019,Germany,Rheinhessen,Peth Wetz,3.9,39.0,8.0,2019,
755,Chardonnay II 2018,Germany,Pfalz,Von Winning,3.9,39.0,14.5,2018,
754,Sauvignon Blanc 2018,Austria,Carnuntum,Markowitsch,3.9,39.0,10.9,2018,
3682,Leone d'Almerita (Tenuta Regaleali) 2017,Italy,Terre Siciliane,Tasca d'Almerita,3.9,923.0,9.59,2017,
6873,Margaux 2010,France,Margaux,Château Siran,3.9,624.0,19.45,2010,
6904,Cotes de Provence Rouge 2012,France,Côtes de Provence,Château La Tour de l'Évêque,3.9,63.0,29.9,2012,
6903,Reserva 2013,Spain,Rioja,Hacienda Grimon,3.9,63.0,17.5,2013,
6861,Canio Nero di Troia 2015,Italy,Puglia,Vigneti del Salento,3.9,62.0,18.03,2015,
6859,Mácula 2013,Spain,Navarra,Bodega Tandem,3.9,62.0,18.42,2013,
6989,Prima La Encina 2018,Spain,Ribera del Duero,Portia,3.9,64.0,18.99,2018,
1428,Valpolicella Ripasso Classico Superiore 2008,Italy,Valpolicella Ripasso,Le Ragose,3.9,153.0,9.56,2008,
6986,Milbrandt Syrah 2017,United States,Wahluke Slope,K Vintners,3.9,64.0,46.31,2017,
6981,Haut-Médoc 2016,France,Haut-Médoc,Château Larrivaux,3.9,64.0,17.95,2016,
6979,Crianza Garnacha 2016,Spain,Rioja,El Coto,3.9,64.0,8.5,2016,
6968,Alto Sangiovese 2011,Italy,Toscana,Petra,3.9,64.0,39.58,2011,
6842,Ribera del Duero 2018,Spain,Ribera del Duero,Venta Las Vacas,3.9,62.0,15.6,2018,
6840,Les Coteaux Merlot 2015,South Africa,Wellington,Mont du Toit,3.9,62.0,15.39,2015,
3686,Les 3 Cèdres Montagne-Saint-Émilion 2012,France,Montagne-Saint-Émilion,Baron Edmond de Rothschild,3.9,295.0,19.31,2012,
855,Oppenheim Riesling 2018,Germany,Rheinhessen,Kühling-Gillot,3.9,41.0,20.88,2018,
10,Chianti Riserva 2013,Italy,Chianti,Poggiotondo,3.9,100.0,20.95,2013,
7,Red Blend 2014,Chile,Itata Valley,Viña La Causa,3.9,100.0,17.52,2014,
2,Erta e China Rosso di Toscana 2015,Italy,Toscana,Renzo Masi,3.9,100.0,7.45,2015,
1390,Reserva 2014,Spain,Rioja,Altos Ibéricos,3.9,151.0,11.48,2014,
1386,Pinot Noir 2016,Israel,Galilee,Yarden,3.9,151.0,27.71,2016,
6923,Annonce Saint-Émilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château Belair-Monange,3.9,63.0,58.39,2015,
6911,Châteauneuf-du-Pape 2005,France,Châteauneuf-du-Pape,Tardieu-Laurent,3.9,63.0,47.95,2005,
6910,Cepas Centenarias 2013,Spain,Rioja Alta,Tarón,3.9,63.0,19.4,2013,
619,Maremma Toscana Le Sughere di Frassinello 2015,Italy,Maremma Toscana,Rocca di Frassinello,3.9,1190.0,19.9,2015,
615,Saga Médoc 2015,France,Médoc,Barons de Rothschild (Lafite),3.9,119.0,10.25,2015,
6885,Maremma Toscana Ornello 2015,Italy,Maremma Toscana,Rocca di Frassinello,3.9,629.0,14.9,2015,
6882,Arele Rosso (Appassimento) 2015,Italy,delle Venezie,Tommasi,3.9,627.0,13.6,2015,
6880,Hochar (Père et Fils) 2016,Lebanon,Bekaa Valley,Château Musar,3.9,626.0,19.4,2016,
6879,Rioja Reserva 2014,Spain,Rioja,Ondarre,3.9,6255.0,8.99,2014,
1400,Roda Reserva Rioja 2016,Spain,Rioja,Bodegas Roda,3.9,152.0,25.9,2016,
802,Steinterrassen 2011,Germany,Nahe,Gut Hermannsberg,3.9,40.0,21.4,2011,
3741,Morning Fog Chardonnay 2018,United States,Livermore Valley,Wente,3.9,1823.0,10.32,2018,
6894,The Red Sedan (Winemaker Selection) 2016,Australia,South Australia,RedHeads,3.9,63.0,11.9,2016,
